"id","Age","Citizenship","Status","Lifeboat","Adult.Minor","Sex","Survived","Pasajero","Class"
"86",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"87",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"88",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"89",24,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"90",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"91",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"92",54,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"93",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"94",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"95",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"96",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"97",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"98",54,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"99",35,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"100",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"101",43,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"102",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"103",48,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"104",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"105",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"106",59,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"107",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"108",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"109",53,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"110",44,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"111",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"112",35,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"113",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"114",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"115",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"116",51,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"117",20,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"118",40,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"119",49,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"120",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"121",24,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"122",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"123",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"124",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"125",44,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"126",32.7167051578137,"British","Otros","No","Adult","Male","Saved","Crew","Engineering"
"127",42,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"128",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"129",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"130",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"131",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"132",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"133",32.7167051578137,"British","Otros","No","Adult","Male","Lost","Crew","Engineering"
"134",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"135",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"136",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"137",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"138",32.7167051578137,"British","Otros","No","Adult","Male","Saved","Crew","Engineering"
"139",32,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"140",35,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"141",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"142",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"143",31,"British","Otros","No","Adult","Male","Lost","Crew","Engineering"
"144",31,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"145",34,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"146",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"147",30,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"148",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"149",20,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"150",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"151",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"152",32.7167051578137,"British","Otros","No","Adult","Male","Saved","Crew","Engineering"
"153",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"154",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"155",32.7167051578137,"British","Single","No","Adult","Male","Lost","Crew","Engineering"
"156",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"157",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
"158",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"159",32.7167051578137,"British","Married","No","Adult","Male","Lost","Crew","Engineering"
"160",32.7167051578137,"British","Married","No","Adult","Male","Saved","Crew","Engineering"
"161",32.7167051578137,"British","Single","No","Adult","Male","Saved","Crew","Engineering"
