"Fecha","Frecuencia"
"2021-06-15 13:30:59",79.6285714285714
"2021-06-15 13:40:59",75.6904761904762
"2021-06-15 13:50:59",71.0183112919634
"2021-06-15 14:00:59",68.8823529411765
"2021-06-15 14:10:59",68.2036199095023
"2021-06-15 14:20:59",67.5248868778281
"2021-06-15 14:30:59",66.8461538461538
"2021-06-15 14:40:59",66.1674208144796
"2021-06-15 14:50:59",67.3111111111111
"2021-06-15 15:00:59",61.9055118110236
"2021-06-15 15:10:59",60.7678207739308
"2021-06-15 15:20:59",57.870253164557
"2021-06-15 15:30:59",56.4462025316456
"2021-06-15 15:40:59",58.1856763925729
"2021-06-15 15:50:59",61.368700265252
"2021-06-15 16:00:59",63.4448398576512
"2021-06-15 16:10:59",66.4095238095238
"2021-06-15 16:20:59",61.8129770992366
"2021-06-15 16:30:59",61
"2021-06-15 16:40:59",62.5174887892377
"2021-06-15 16:50:59",61.6666666666667
"2021-06-15 17:00:59",55.9677419354839
"2021-06-15 17:10:59",58.5428571428571
"2021-06-15 17:20:59",61.2697201017812
"2021-06-15 17:30:59",64.2110286320254
"2021-06-15 17:40:59",72.7160751565762
"2021-06-15 17:50:59",56.6142857142857
"2021-06-15 18:00:59",59.5642458100559
"2021-06-15 18:10:59",62.9162011173184
"2021-06-15 18:20:59",71.7192374350087
"2021-06-15 18:30:59",80.6620450606586
"2021-06-15 18:40:59",89.6048526863085
"2021-06-15 18:50:59",98.5476603119584
"2021-06-15 19:00:59",105.416828658706
"2021-06-15 19:10:59",101.917800610941
"2021-06-15 19:20:59",98.4187725631769
"2021-06-15 19:30:59",94.9197445154124
"2021-06-15 19:40:59",91.4207164676479
"2021-06-15 19:50:59",87.9216884198834
"2021-06-15 20:00:59",84.9221698113208
"2021-06-15 20:10:59",84.4504716981132
"2021-06-15 20:20:59",81.8142857142857
"2021-06-15 20:30:59",63.916820702403
"2021-06-15 20:40:59",64.6643356643357
"2021-06-15 20:50:59",67.0912863070539
