"","car_name","brand","model","kilometers_driven","transmision","fuel","color","engine_capacity","Precio"
"825","New Toyota Hilux 2023","renault",2023,"0 KM","Manual","Diesel","White","2400",995000
"826","Used Renault Sandero Stepway 2015","renault",2015,"158,000 KM","Manual","Petrol","Burgundy","1600",137000
"827","Used Renault Megane 1.6L E2+ A/T 2020","renault",2020,"10,350 KM","CVT","Petrol","Blue","1598",310000
"828","Used Renault Captur 2017","renault",2017,"325,000 KM","Automatic","Petrol","Other","1200",180000
"829","Used Renault Sandero 2014","renault",2014,"82,000 KM","Automatic","N/A","Gray","1600",137000
"830","Used Renault Duster 2015","renault",2015,"245,600 KM","Manual","Petrol","Black","1600",350000
"831","Used Renault Logan Basic 2016","renault",2016,"149,400 KM","Automatic","Petrol","Bronze","1600",125000
"832","Used Renault Logan Mid 2016","renault",2016,"81,000 KM","Automatic","Petrol","Gray","1600",150000
"833","Used Renault Logan 4 Door 1.6L Manual 2013","renault",2013,"130,000 KM","Manual","Petrol","Gray","1600",120000
"834","Used Renault Sandero SE 2014","renault",2014,"85,000 KM","Automatic","Petrol","Red","1600",133000
"835","Used Renault Captur 1.2L LE 2017","renault",2017,"40,000 KM","Automatic","Petrol","Orange","1199",240000
"836","Used Renault Kadjar 2018","renault",2018,"49,000 KM","Automatic","N/A","White","1300",345000
"837","Used Renault Duster 2.0L PE 2016","renault",2016,"40,000 KM","Automatic","Petrol","White","2000",190000
"838","New Toyota Hilux 2023","renault",2023,"0 KM","Manual","Diesel","White","2400",995000
"839","Used Renault Fluence 1.6L PE 2016","renault",2016,"125,000 KM","Automatic","Petrol","Red","1600",210000
"840","Used Renault Kadjar 2018","renault",2018,"82,000 KM","Automatic","Petrol","Other","N/A",325000
"841","Used Renault Sandero 2014","renault",2014,"125,000 KM","Automatic","Petrol","Red","N/A",130000
"842","Used Renault Fluence 1.6L PE 2014","renault",2014,"103,000 KM","CVT","Petrol","White","1600",210000
"843","Used Renault Sandero 2014","renault",2014,"125,000 KM","Automatic","Petrol","Red","1400",130000
"844","Used Renault Logan 2014","renault",2014,"45,000 KM","Manual","Petrol","Gray","1600",105000
"845","Used Renault Megane 1.6L E2 A/T 2006","renault",2006,"176,000 KM","Automatic","Petrol","Pink","1598",95000
"846","Used Renault Logan Top 2016","renault",2016,"85,000 KM","Automatic","Petrol","Gold","1600",140000
