"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"25.09.2016","8.779,40","8.765,40","8.864,80","8.543,10","1,41B","-0,50%"
"18.09.2016","8.823,60","8.723,50","8.966,10","8.649,50","1,20B","2,20%"
"11.09.2016","8.633,40","8.877,10","8.924,00","8.603,30","1,31B","-4,34%"
"04.09.2016","9.025,50","8.928,40","9.135,80","8.893,90","1,03B","1,31%"
"28.08.2016","8.908,90","8.611,20","8.912,60","8.573,70","1,08B","2,88%"
"21.08.2016","8.659,50","8.431,30","8.673,90","8.407,60","752,49M","2,47%"
"14.08.2016","8.450,60","8.711,00","8.753,60","8.393,50","718,90M","-3,05%"
"07.08.2016","8.716,40","8.573,50","8.747,60","8.531,80","792,04M","2,07%"
"31.07.2016","8.539,40","8.667,50","8.679,10","8.229,40","1,24B","-0,56%"
"24.07.2016","8.587,20","8.605,70","8.720,20","8.479,20","1,19B","-0,15%"
"17.07.2016","8.599,90","8.552,90","8.620,90","8.439,30","1,23B","0,81%"
"10.07.2016","8.531,00","8.265,80","8.593,80","8.168,70","1,54B","4,22%"
"03.07.2016","8.185,90","8.302,90","8.328,10","7.857,80","1,51B","-1,00%"
"26.06.2016","8.268,90","8.001,50","8.304,40","7.579,80","2,40B","6,18%"
"19.06.2016","7.787,70","8.592,70","8.912,00","7.743,40","2,21B","-6,87%"
"12.06.2016","8.362,00","8.388,20","8.425,20","8.107,00","1,76B","-1,51%"
"05.06.2016","8.490,50","8.810,10","8.945,90","8.486,80","1,35B","-3,53%"
"29.05.2016","8.801,60","9.110,90","9.155,50","8.756,80","1,28B","-3,36%"
"22.05.2016","9.107,30","8.776,20","9.149,30","8.670,90","1,34B","3,83%"
"15.05.2016","8.771,20","8.626,40","8.829,50","8.579,80","961,45M","0,57%"
"08.05.2016","8.721,50","8.776,10","8.839,70","8.582,20","1,15B","0,22%"
"01.05.2016","8.702,10","9.066,90","9.092,60","8.563,90","1,23B","-3,59%"
"24.04.2016","9.025,70","9.225,40","9.360,20","9.025,70","1,52B","-2,24%"
"17.04.2016","9.232,80","8.703,40","9.244,40","8.674,10","1,47B","4,31%"
"10.04.2016","8.850,90","8.413,40","8.886,60","8.344,40","1,63B","5,02%"
"03.04.2016","8.427,60","8.589,30","8.712,90","8.256,10","1,38B","-2,03%"
"27.03.2016","8.602,30","8.843,20","8.960,70","8.531,80","1,10B","-2,13%"
"20.03.2016","8.789,80","9.006,10","9.138,90","8.781,70","795,02M","-2,89%"
"13.03.2016","9.051,10","9.156,10","9.217,30","8.782,80","1,77B","-0,43%"
"06.03.2016","9.090,60","8.785,70","9.105,80","8.663,20","1,91B","3,17%"
"28.02.2016","8.811,60","8.291,90","8.877,90","8.222,60","1,57B","5,54%"
"21.02.2016","8.349,20","8.290,30","8.447,80","7.968,10","1,40B","1,89%"
"14.02.2016","8.194,20","8.133,00","8.479,60","8.081,40","1,56B","3,45%"
"07.02.2016","7.920,80","8.537,90","8.540,90","7.746,30","2,07B","-6,81%"
"31.01.2016","8.499,50","8.849,30","8.896,50","8.180,40","1,93B","-3,59%"
"24.01.2016","8.815,80","8.763,20","8.815,80","8.402,30","1,67B","1,07%"
"17.01.2016","8.722,90","8.525,50","8.795,70","8.206,00","1,68B","2,10%"
"10.01.2016","8.543,60","8.849,90","9.074,00","8.491,90","1,69B","-4,10%"
"03.01.2016","8.909,20","9.429,80","9.446,20","8.889,70","1,48B","-6,65%"
"27.12.2015","9.544,20","9.675,60","9.724,90","9.533,00","506,88M","-1,43%"
"20.12.2015","9.682,90","9.520,50","9.706,20","9.351,80","883,50M","-0,35%"
"13.12.2015","9.717,10","9.658,00","10.000,40","9.428,50","1,65B","0,90%"
"06.12.2015","9.630,70","10.139,00","10.158,20","9.606,80","1,21B","-4,45%"
"29.11.2015","10.078,70","10.299,00","10.476,60","9.931,10","1,35B","-2,25%"
"22.11.2015","10.310,70","10.262,30","10.390,70","10.045,60","1,29B","0,20%"
"15.11.2015","10.290,30","10.012,40","10.408,40","10.005,20","1,18B","1,77%"
"08.11.2015","10.111,40","10.451,60","10.476,90","10.012,30","1,18B","-3,27%"
"01.11.2015","10.453,20","10.279,30","10.631,60","10.259,10","1,41B","0,89%"
"25.10.2015","10.360,70","10.473,90","10.517,60","10.258,70","1,26B","-1,10%"
"18.10.2015","10.476,30","10.221,50","10.591,90","10.004,00","1,23B","2,39%"
"11.10.2015","10.231,50","10.318,80","10.379,00","9.992,40","1,22B","-0,76%"
"04.10.2015","10.309,60","9.777,30","10.354,10","9.731,50","1,65B","7,35%"
"27.09.2015","9.603,60","9.500,90","9.718,00","9.264,40","1,42B","0,88%"
"20.09.2015","9.519,50","9.826,10","9.952,00","9.231,30","1,67B","-3,33%"
"13.09.2015","9.847,20","9.764,80","10.141,80","9.620,70","1,68B","1,12%"
"06.09.2015","9.737,90","9.893,50","10.193,00","9.722,70","1,18B","-0,85%"
"30.08.2015","9.821,80","10.297,20","10.319,10","9.737,90","1,39B","-5,13%"
"23.08.2015","10.352,90","9.973,70","10.357,30","9.502,40","1,97B","0,79%"
"16.08.2015","10.271,70","10.983,10","11.023,30","10.270,20","1,23B","-5,58%"
"09.08.2015","10.879,30","11.239,50","11.330,00","10.840,30","1,15B","-2,67%"
"02.08.2015","11.178,20","11.180,60","11.327,00","11.098,50","1,36B","-0,02%"
"26.07.2015","11.180,70","11.252,70","11.362,40","11.039,50","1,35B","-1,14%"
"19.07.2015","11.309,30","11.506,90","11.612,60","11.300,90","1,23B","-1,49%"
"12.07.2015","11.480,70","11.178,20","11.551,00","11.121,80","1,33B","4,03%"
"05.07.2015","11.036,10","10.571,80","11.069,80","10.316,40","1,66B","2,38%"
"28.06.2015","10.779,80","11.148,40","11.202,60","10.723,20","1,55B","-5,21%"
"21.06.2015","11.372,30","11.184,50","11.497,10","11.168,90","1,41B","3,91%"
"14.06.2015","10.944,30","10.893,60","11.029,10","10.654,30","1,32B","-0,78%"
"07.06.2015","11.030,50","11.022,80","11.231,30","10.750,00","1,20B","-0,28%"
"31.05.2015","11.062,00","11.264,80","11.369,10","10.984,10","1,12B","-1,39%"
"24.05.2015","11.217,60","11.421,20","11.467,80","11.169,40","1,23B","-2,91%"
"17.05.2015","11.554,20","11.336,80","11.609,90","11.203,10","1,06B","2,09%"
"10.05.2015","11.317,30","11.433,70","11.481,60","11.203,90","1,18B","-0,94%"
"03.05.2015","11.424,70","11.377,10","11.503,90","10.928,20","1,45B","0,35%"
"26.04.2015","11.385,00","11.532,00","11.684,60","11.258,00","1,29B","-1,05%"
"19.04.2015","11.505,40","11.400,20","11.605,50","11.276,30","1,44B","1,29%"
"12.04.2015","11.359,40","11.761,70","11.884,60","11.299,90","1,65B","-3,32%"
"05.04.2015","11.749,30","11.715,60","11.778,00","11.615,80","1,30B","0,99%"
"29.03.2015","11.634,00","11.459,80","11.662,80","11.432,30","1,15B","1,81%"
"22.03.2015","11.427,40","11.394,00","11.618,30","11.294,70","1,53B","0,07%"
"15.03.2015","11.419,60","11.082,40","11.458,30","10.953,70","1,73B","3,50%"
"08.03.2015","11.033,80","11.007,90","11.081,20","10.858,40","1,48B","-0,52%"
"01.03.2015","11.091,90","11.190,50","11.239,80","10.921,40","1,35B","-0,77%"
"22.02.2015","11.178,30","11.001,30","11.184,50","10.935,10","1,51B","2,75%"
"15.02.2015","10.879,30","10.717,80","10.918,40","10.526,60","1,48B","1,30%"
"08.02.2015","10.739,50","10.467,80","10.794,90","10.289,70","1,56B","1,57%"
"01.02.2015","10.573,10","10.396,60","10.688,00","10.136,40","1,86B","1,63%"
"25.01.2015","10.403,30","10.502,60","10.716,90","10.320,80","1,75B","-1,68%"
"18.01.2015","10.581,50","10.091,30","10.693,00","10.036,70","2,07B","5,40%"
"11.01.2015","10.038,90","9.805,50","10.060,20","9.646,40","2,11B","3,29%"
"04.01.2015","9.719,00","10.267,20","10.390,80","9.610,10","1,98B","-6,10%"
"28.12.2014","10.350,80","10.427,80","10.446,30","10.216,20","688,67M","-1,25%"
"21.12.2014","10.481,80","10.387,50","10.495,90","10.294,90","393,04M","1,14%"
"14.12.2014","10.363,60","10.149,60","10.500,10","9.661,00","2,15B","2,15%"
"07.12.2014","10.145,00","10.864,60","10.919,30","10.127,50","1,40B","-6,93%"
"30.11.2014","10.900,70","10.700,60","10.928,30","10.587,00","1,48B","1,21%"
"23.11.2014","10.770,70","10.558,70","10.792,30","10.528,80","1,46B","2,38%"
"16.11.2014","10.520,80","10.061,10","10.542,50","10.040,90","1,81B","3,67%"
"09.11.2014","10.148,00","10.103,90","10.418,40","10.044,20","1,45B","0,21%"
"02.11.2014","10.126,30","10.454,30","10.508,80","10.017,50","1,63B","-3,35%"
"26.10.2014","10.477,80","10.469,40","10.513,30","9.994,80","1,73B","1,34%"
"19.10.2014","10.339,30","9.898,90","10.369,00","9.802,80","1,63B","3,84%"
"12.10.2014","9.956,80","10.072,40","10.274,80","9.370,50","2,21B","-1,91%"
"05.10.2014","10.150,50","10.657,60","10.728,80","10.102,40","1,46B","-3,95%"
"28.09.2014","10.567,60","10.828,20","10.889,30","10.418,10","1,44B","-2,62%"
"21.09.2014","10.851,40","10.961,90","11.026,50","10.679,20","1,20B","-1,37%"
"14.09.2014","11.001,90","10.849,80","11.191,80","10.737,30","1,30B","1,04%"
"07.09.2014","10.888,90","11.158,40","11.163,00","10.821,30","985,82M","-2,33%"
"31.08.2014","11.148,90","10.749,20","11.182,00","10.693,90","1,16B","3,92%"
"24.08.2014","10.728,80","10.607,10","10.883,80","10.563,60","924,98M","2,18%"
"17.08.2014","10.500,20","10.350,40","10.588,70","10.284,10","729,23M","2,72%"
"10.08.2014","10.222,20","10.226,60","10.417,70","10.148,60","900,45M","1,16%"
"03.08.2014","10.104,80","10.585,80","10.589,40","9.946,90","1,37B","-3,89%"
"27.07.2014","10.514,00","10.940,50","11.016,10","10.478,30","1,24B","-3,44%"
"20.07.2014","10.888,10","10.521,70","10.941,90","10.447,60","1,21B","3,43%"
"13.07.2014","10.527,00","10.602,50","10.680,20","10.425,30","1,07B","-0,11%"
"06.07.2014","10.538,80","10.986,00","11.005,20","10.423,60","1,39B","-4,27%"
"29.06.2014","11.009,40","10.975,60","11.100,20","10.850,60","1,06B","0,45%"
"22.06.2014","10.959,90","11.163,40","11.185,10","10.890,20","1,11B","-1,75%"
"15.06.2014","11.155,10","11.055,00","11.249,40","10.971,70","1,22B","0,37%"
"08.06.2014","11.113,70","11.089,80","11.188,20","11.010,00","1,11B","0,45%"
"01.06.2014","11.064,30","10.819,00","11.085,10","10.667,20","1,32B","2,46%"
"25.05.2014","10.798,70","10.593,80","10.803,40","10.576,30","1,09B","2,27%"
"18.05.2014","10.558,90","10.469,70","10.576,50","10.307,30","1,06B","0,77%"
"11.05.2014","10.478,70","10.512,40","10.665,10","10.282,40","1,49B","-0,08%"
"04.05.2014","10.487,20","10.460,20","10.597,90","10.342,50","1,32B","0,12%"
"27.04.2014","10.474,50","10.351,30","10.541,00","10.247,90","950,94M","1,63%"
"20.04.2014","10.306,20","10.339,10","10.531,10","10.279,70","925,42M","0,13%"
"13.04.2014","10.292,40","10.097,70","10.316,20","9.984,30","1,02B","0,85%"
"06.04.2014","10.205,40","10.594,10","10.678,20","10.091,10","1,50B","-4,42%"
"30.03.2014","10.677,20","10.349,60","10.705,10","10.325,90","1,52B","3,37%"
"23.03.2014","10.328,90","10.061,70","10.341,90","9.868,70","1,35B","2,74%"
"16.03.2014","10.053,10","9.822,90","10.157,50","9.811,20","1,42B","2,46%"
"09.03.2014","9.812,00","10.151,40","10.292,00","9.703,10","1,51B","-3,47%"
"02.03.2014","10.164,20","9.951,60","10.358,90","9.855,10","1,63B","0,49%"
"23.02.2014","10.114,20","10.060,20","10.269,00","9.996,10","1,39B","0,43%"
"16.02.2014","10.071,00","10.155,10","10.181,90","9.918,50","1,26B","-0,61%"
"09.02.2014","10.132,80","10.114,20","10.184,70","9.943,80","1,48B","0,60%"
"02.02.2014","10.072,40","9.911,50","10.086,70","9.654,80","1,58B","1,53%"
"26.01.2014","9.920,20","9.877,00","10.054,10","9.716,50","1,70B","0,52%"
"19.01.2014","9.868,90","10.440,00","10.510,50","9.835,50","1,58B","-5,70%"
"12.01.2014","10.465,70","10.336,30","10.552,70","10.223,10","1,69B","1,70%"
"05.01.2014","10.290,60","9.768,40","10.383,00","9.766,40","1,86B","5,03%"
"29.12.2013","9.798,00","9.919,50","9.952,00","9.722,50","781,42M","-1,03%"
"22.12.2013","9.900,10","9.696,10","9.900,10","9.650,50","451,85M","2,17%"
"15.12.2013","9.689,90","9.270,30","9.721,90","9.264,70","1,22B","4,50%"
"08.12.2013","9.272,70","9.414,40","9.556,10","9.242,90","928,09M","-1,36%"
"01.12.2013","9.400,50","9.838,20","9.852,70","9.232,10","1,12B","-4,44%"
"24.11.2013","9.837,60","9.724,50","9.923,30","9.656,50","943,73M","1,66%"
"17.11.2013","9.677,40","9.679,60","9.853,60","9.467,00","955,71M","-0,19%"
"10.11.2013","9.695,90","9.757,20","9.824,10","9.610,40","999,44M","-0,53%"
"03.11.2013","9.747,20","9.873,90","10.025,90","9.613,60","1,19B","-0,93%"
"27.10.2013","9.838,30","9.840,00","9.980,20","9.665,60","1,13B","0,23%"
"20.10.2013","9.815,50","10.019,60","10.063,90","9.772,30","1,20B","-1,86%"
"13.10.2013","10.001,80","9.631,70","10.002,60","9.615,30","1,15B","3,45%"
"06.10.2013","9.668,50","9.380,40","9.707,30","9.295,60","1,13B","2,63%"
"29.09.2013","9.420,90","9.073,20","9.432,70","9.036,90","1,00B","2,09%"
"22.09.2013","9.228,40","9.163,80","9.299,10","9.057,50","1,05B","0,62%"
"15.09.2013","9.171,80","9.017,50","9.198,70","8.911,70","1,20B","2,57%"
"08.09.2013","8.941,60","8.628,90","8.951,60","8.568,70","1,13B","3,31%"
"01.09.2013","8.655,00","8.370,20","8.678,80","8.331,10","890,63M","4,40%"
"25.08.2013","8.290,50","8.669,60","8.717,00","8.275,90","796,39M","-4,56%"
"18.08.2013","8.686,80","8.807,80","8.818,80","8.422,60","806,12M","-1,52%"
"11.08.2013","8.821,30","8.733,50","8.828,10","8.633,90","782,42M","0,98%"
"04.08.2013","8.735,50","8.585,10","8.765,70","8.448,00","838,71M","1,88%"
"28.07.2013","8.574,00","8.374,60","8.578,30","8.349,10","899,02M","2,64%"
"21.07.2013","8.353,60","7.954,90","8.395,90","7.917,10","1,06B","5,17%"
"14.07.2013","7.943,20","7.832,40","7.978,90","7.702,70","871,06M","1,26%"
"07.07.2013","7.844,70","7.922,00","8.111,50","7.800,80","982,17M","-0,30%"
"30.06.2013","7.868,40","7.817,00","8.035,70","7.612,80","1,20B","1,36%"
"23.06.2013","7.762,70","7.682,10","7.936,90","7.508,40","1,29B","0,81%"
"16.06.2013","7.700,20","8.132,70","8.211,00","7.700,10","1,39B","-4,59%"
"09.06.2013","8.070,90","8.270,80","8.321,70","7.958,60","1,48B","-2,37%"
"02.06.2013","8.266,60","8.266,60","8.430,00","8.165,10","1,27B","-0,65%"
"26.05.2013","8.320,60","8.301,40","8.583,60","8.297,80","1,22B","0,68%"
"19.05.2013","8.264,60","8.585,40","8.613,80","8.216,50","1,13B","-3,70%"
"12.05.2013","8.582,40","8.554,20","8.595,60","8.366,70","1,26B","0,44%"
"05.05.2013","8.544,50","8.551,20","8.669,20","8.472,60","1,14B","0,00%"
"28.04.2013","8.544,80","8.324,70","8.566,10","8.286,60","1,12B","2,99%"
"21.04.2013","8.297,00","7.983,80","8.412,40","7.927,60","1,39B","4,82%"
"14.04.2013","7.915,50","8.051,70","8.093,70","7.743,60","1,29B","-1,55%"
"07.04.2013","8.040,40","7.809,80","8.179,00","7.774,40","1,30B","3,10%"
"31.03.2013","7.798,40","7.917,60","8.059,00","7.716,10","1,12B","-1,54%"
"24.03.2013","7.920,00","8.434,60","8.461,90","7.797,20","1,48B","-4,92%"
"17.03.2013","8.329,50","8.383,20","8.532,40","8.250,50","1,39B","-3,36%"
"10.03.2013","8.619,10","8.605,00","8.670,40","8.434,90","1,27B","-0,10%"
"03.03.2013","8.628,10","8.135,10","8.638,30","8.129,20","1,18B","5,39%"
"24.02.2013","8.187,10","8.232,70","8.400,10","7.911,10","1,71B","0,10%"
"17.02.2013","8.179,00","8.110,90","8.274,40","7.982,00","1,08B","0,35%"
"10.02.2013","8.150,20","8.181,50","8.343,40","8.045,10","1,20B","-0,30%"
"03.02.2013","8.174,90","8.225,00","8.227,70","7.895,50","1,56B","-0,67%"
"27.01.2013","8.229,70","8.755,90","8.755,90","8.159,50","1,44B","-5,67%"
"20.01.2013","8.724,60","8.628,30","8.734,10","8.576,40","1,03B","1,40%"
"13.01.2013","8.604,00","8.699,20","8.721,10","8.520,60","1,35B","-0,70%"
"06.01.2013","8.664,70","8.434,30","8.677,40","8.374,70","1,82B","2,71%"
"30.12.2012","8.435,80","8.111,90","8.447,60","8.041,70","798,41M","3,75%"
"23.12.2012","8.131,00","8.261,60","8.345,40","8.103,90","539,67M","-1,93%"
"16.12.2012","8.291,00","8.017,80","8.322,00","7.975,00","1,97B","3,33%"
"09.12.2012","8.024,10","7.796,10","8.045,30","7.670,80","1,11B","2,24%"
"02.12.2012","7.848,50","7.963,40","8.027,80","7.813,10","1,13B","-1,09%"
"25.11.2012","7.934,60","7.882,80","7.989,60","7.753,70","1,17B","0,32%"
"18.11.2012","7.909,60","7.661,80","7.915,60","7.601,70","712,66M","4,24%"
"11.11.2012","7.588,20","7.632,10","7.756,50","7.490,60","849,99M","-0,63%"
"04.11.2012","7.636,60","7.891,60","7.918,60","7.496,00","704,55M","-4,17%"
"28.10.2012","7.968,90","7.749,40","7.995,90","7.684,50","590,62M","2,49%"
"21.10.2012","7.775,60","7.911,20","7.955,70","7.653,20","725,90M","-1,74%"
"14.10.2012","7.913,40","7.653,90","8.156,60","7.624,70","996,78M","3,41%"
"07.10.2012","7.652,40","7.910,50","7.913,10","7.565,50","721,15M","-3,80%"
"30.09.2012","7.954,40","7.712,80","7.972,80","7.703,00","753,21M","3,19%"
"23.09.2012","7.708,50","8.165,90","8.197,90","7.678,70","806,50M","-6,34%"
"16.09.2012","8.230,70","8.087,60","8.230,70","7.949,10","1,02B","0,93%"
"09.09.2012","8.154,50","7.839,40","8.231,00","7.730,00","1,02B","3,45%"
"02.09.2012","7.882,80","7.398,50","8.027,00","7.351,20","1,05B","6,23%"
"26.08.2012","7.420,50","7.293,80","7.424,70","7.161,40","775,72M","1,51%"
"19.08.2012","7.310,30","7.557,00","7.645,00","7.176,90","742,55M","-3,32%"
"12.08.2012","7.561,00","7.036,80","7.612,10","6.991,90","797,48M","7,28%"
"05.08.2012","7.047,70","6.751,80","7.235,80","6.738,40","1,02B","4,32%"
"29.07.2012","6.755,70","6.625,70","6.913,70","6.296,10","1,24B","2,09%"
"22.07.2012","6.617,60","6.157,00","6.617,60","5.905,30","1,45B","5,94%"
"15.07.2012","6.246,30","6.631,30","6.682,50","6.232,60","1,30B","-6,28%"
"08.07.2012","6.664,60","6.738,20","6.829,70","6.563,30","1,14B","-1,10%"
"01.07.2012","6.738,90","7.082,40","7.219,50","6.726,70","1,26B","-5,12%"
"24.06.2012","7.102,20","6.844,60","7.102,20","6.512,30","1,35B","3,29%"
"17.06.2012","6.876,30","6.855,80","6.960,00","6.479,40","1,23B","2,34%"
"10.06.2012","6.719,00","6.897,60","6.940,30","6.439,30","1,56B","2,55%"
"03.06.2012","6.552,00","5.998,90","6.578,50","5.987,80","1,20B","8,03%"
"27.05.2012","6.065,00","6.585,20","6.620,60","5.994,10","1,59B","-7,31%"
"20.05.2012","6.543,00","6.571,50","6.683,00","6.357,10","1,09B","-0,36%"
"13.05.2012","6.566,70","6.896,60","6.907,00","6.380,20","1,45B","-6,13%"
"06.05.2012","6.995,60","6.766,20","7.175,70","6.732,60","1,50B","1,74%"
"29.04.2012","6.876,00","7.182,50","7.208,30","6.776,50","900,48M","-3,78%"
"22.04.2012","7.145,80","6.986,70","7.202,90","6.811,20","1,46B","1,49%"
"15.04.2012","7.040,60","7.232,00","7.373,30","6.858,30","1,71B","-2,90%"
"08.04.2012","7.250,60","7.582,50","7.633,50","7.218,40","1,23B","-5,35%"
"01.04.2012","7.660,50","8.024,70","8.072,60","7.545,10","1,01B","-4,34%"
"25.03.2012","8.008,00","8.310,80","8.345,70","7.866,40","1,24B","-3,31%"
"18.03.2012","8.281,80","8.478,30","8.625,50","8.192,60","1,12B","-2,41%"
"11.03.2012","8.486,30","8.276,70","8.499,70","8.159,50","1,42B","2,46%"
"04.03.2012","8.282,70","8.514,20","8.540,60","8.081,60","1,23B","-3,28%"
"26.02.2012","8.563,40","8.483,30","8.628,40","8.401,90","952,80M","0,42%"
"19.02.2012","8.527,70","8.726,60","8.864,40","8.456,40","975,73M","-1,49%"
"12.02.2012","8.657,00","8.856,10","8.883,30","8.476,80","1,01B","-1,59%"
"05.02.2012","8.797,10","8.833,80","8.967,40","8.725,80","925,01M","-0,72%"
"29.01.2012","8.861,20","8.588,40","8.861,20","8.489,40","1,10B","2,36%"
"22.01.2012","8.657,30","8.552,70","8.746,60","8.463,00","1,04B","1,11%"
"15.01.2012","8.561,90","8.368,40","8.612,40","8.354,60","1,17B","1,32%"
"08.01.2012","8.450,60","8.314,50","8.575,90","8.250,10","1,12B","1,95%"
"01.01.2012","8.289,10","8.558,00","8.743,30","8.233,80","879,62M","-3,24%"
"25.12.2011","8.566,30","8.536,50","8.585,80","8.307,20","354,44M","0,28%"
"18.12.2011","8.542,70","8.131,40","8.606,50","8.120,90","733,60M","4,14%"
"11.12.2011","8.203,40","8.600,10","8.609,40","8.153,10","1,12B","-5,16%"
"04.12.2011","8.649,70","8.638,20","8.844,20","8.382,10","1,03B","1,06%"
"27.11.2011","8.558,60","7.881,80","8.624,50","7.858,10","1,12B","10,24%"
"20.11.2011","7.763,50","8.291,30","8.303,20","7.601,20","877,62M","-6,58%"
"13.11.2011","8.310,10","8.615,80","8.616,90","8.191,70","964,93M","-2,88%"
"06.11.2011","8.556,10","8.436,90","8.652,10","8.211,30","983,51M","-0,47%"
"30.10.2011","8.596,40","9.127,40","9.178,20","8.407,20","1,15B","-6,81%"
"23.10.2011","9.224,40","8.924,90","9.351,00","8.787,70","1,08B","4,20%"
"16.10.2011","8.853,00","9.032,50","9.087,80","8.573,90","995,08M","-1,36%"
"09.10.2011","8.975,50","8.848,00","9.073,20","8.730,50","1,02B","2,01%"
"02.10.2011","8.798,40","8.346,60","8.849,90","8.065,10","1,18B","2,95%"
"25.09.2011","8.546,60","7.846,40","8.653,90","7.842,70","1,17B","6,87%"
"18.09.2011","7.996,90","8.177,70","8.379,40","7.639,60","1,07B","-4,67%"
"11.09.2011","8.388,40","7.762,70","8.445,10","7.505,30","1,51B","6,05%"
"04.09.2011","7.910,20","8.302,20","8.347,20","7.866,30","1,02B","-6,54%"
"28.08.2011","8.463,50","8.318,80","8.801,70","8.261,90","784,55M","3,40%"
"21.08.2011","8.185,50","8.090,70","8.480,10","8.031,10","790,35M","0,54%"
"14.08.2011","8.141,90","8.727,50","8.795,30","8.015,00","1,06B","-5,84%"
"07.08.2011","8.647,30","8.727,60","9.030,80","7.767,30","2,17B","-0,28%"
"31.07.2011","8.671,20","9.713,00","9.752,30","8.462,70","1,84B","-9,96%"
"24.07.2011","9.630,70","10.005,20","10.009,60","9.499,80","1,15B","-4,26%"
"17.07.2011","10.059,30","9.443,80","10.221,50","9.332,20","1,49B","6,06%"
"10.07.2011","9.484,20","9.867,40","9.870,30","9.276,10","1,57B","-4,57%"
"03.07.2011","9.938,20","10.524,20","10.524,20","9.920,40","1,11B","-5,28%"
"26.06.2011","10.492,00","9.791,10","10.536,80","9.758,50","1,12B","6,92%"
"19.06.2011","9.812,70","10.029,80","10.264,40","9.767,80","1,11B","-3,18%"
"12.06.2011","10.135,20","9.958,20","10.166,30","9.803,80","1,28B","1,85%"
"05.06.2011","9.950,80","10.278,70","10.280,10","9.910,80","809,90M","-3,26%"
"29.05.2011","10.285,70","10.239,20","10.549,00","10.133,00","881,67M","0,24%"
"22.05.2011","10.261,20","10.110,50","10.365,80","10.030,60","1,01B","0,34%"
"15.05.2011","10.226,60","10.280,20","10.449,90","10.190,90","996,48M","-1,25%"
"08.05.2011","10.356,50","10.546,90","10.590,30","10.321,80","1,02B","-2,39%"
"01.05.2011","10.610,50","10.917,40","10.928,20","10.481,60","995,76M","-2,47%"
"24.04.2011","10.878,90","10.574,90","10.911,30","10.546,90","686,63M","2,79%"
"17.04.2011","10.584,10","10.574,80","10.634,10","10.289,10","975,69M","0,24%"
"10.04.2011","10.558,60","10.896,20","10.958,20","10.484,70","1,18B","-3,25%"
"03.04.2011","10.913,20","10.710,20","10.950,10","10.624,60","1,10B","1,71%"
"27.03.2011","10.729,90","10.721,70","10.830,40","10.570,90","1,01B","0,18%"
"20.03.2011","10.710,40","10.473,70","10.801,10","10.418,90","1,16B","3,70%"
"13.03.2011","10.328,40","10.386,20","10.637,70","10.076,50","1,97B","-0,67%"
"06.03.2011","10.398,40","10.478,10","10.623,90","10.313,60","1,37B","-0,96%"
"27.02.2011","10.498,70","10.829,90","10.939,70","10.463,80","1,19B","-2,99%"
"20.02.2011","10.822,70","11.049,30","11.050,30","10.543,30","1,14B","-2,22%"
"13.02.2011","11.068,10","10.847,60","11.165,00","10.719,20","1,26B","2,45%"
"06.02.2011","10.803,60","10.854,30","11.053,90","10.656,40","1,13B","-0,47%"
"30.01.2011","10.854,70","10.738,20","11.044,30","10.603,40","1,39B","1,00%"
"23.01.2011","10.747,00","10.852,20","10.961,10","10.579,90","1,40B","-0,76%"
"16.01.2011","10.829,10","10.328,30","10.937,60","10.245,50","1,63B","4,28%"
"09.01.2011","10.385,10","9.488,30","10.423,00","9.387,90","1,74B","8,62%"
"02.01.2011","9.560,70","9.899,40","9.993,60","9.497,80","1,02B","-3,03%"
"26.12.2010","9.859,10","10.077,60","10.092,90","9.854,00","466,76M","-2,45%"
"19.12.2010","10.106,90","9.915,60","10.253,90","9.851,10","711,90M","2,11%"
"12.12.2010","9.898,10","10.165,80","10.219,70","9.850,10","1,15B","-2,21%"
"05.12.2010","10.121,90","10.015,90","10.230,30","9.826,30","1,05B","1,07%"
"28.11.2010","10.014,80","9.587,00","10.037,40","9.203,40","1,86B","4,90%"
"21.11.2010","9.547,20","10.388,80","10.393,40","9.442,60","1,46B","-7,05%"
"14.11.2010","10.271,70","10.165,50","10.377,80","10.074,00","1,14B","0,44%"
"07.11.2010","10.226,80","10.335,00","10.448,60","9.891,00","1,33B","-1,93%"
"31.10.2010","10.428,10","10.901,80","10.903,40","10.369,90","1,36B","-3,56%"
"24.10.2010","10.812,90","10.986,00","10.988,40","10.657,30","986,24M","-1,02%"
"17.10.2010","10.924,80","10.820,10","11.021,60","10.751,20","975,02M","0,52%"
"10.10.2010","10.868,20","10.723,80","10.982,10","10.529,70","970,52M","1,37%"
"03.10.2010","10.720,80","10.449,20","10.830,20","10.310,20","952,59M","2,59%"
"26.09.2010","10.450,10","10.732,00","10.767,30","10.378,80","991,66M","-2,59%"
"19.09.2010","10.727,60","10.622,10","10.902,50","10.401,80","1,07B","1,31%"
"12.09.2010","10.588,60","10.775,70","10.846,50","10.544,40","908,76M","-0,94%"
"05.09.2010","10.689,60","10.678,80","10.773,60","10.410,30","699,60M","0,85%"
"29.08.2010","10.599,40","10.201,50","10.708,80","9.964,20","785,38M","4,45%"
"22.08.2010","10.148,20","10.117,10","10.306,20","9.773,80","750,42M","0,53%"
"15.08.2010","10.094,30","10.284,50","10.538,20","10.018,70","696,13M","-1,77%"
"08.08.2010","10.275,80","10.802,80","10.831,20","10.201,60","771,12M","-3,52%"
