"","X","Grupo","Fecha","Destino","Tarifa.min","Duración","Cantidad"
"135",135,"Educacion","T","America",0.193,78,0.46
"136",136,"Otros","T","America",0.026,41,0.1
"137",137,"Otros","T","America",0.026,0,0
"138",138,"Asesores","T","America",0.126,542,1.33
"139",139,"Otros","T","America",0.007,0,0
"140",140,"Educacion","T","Europa",0.09,94,0.25
"141",141,"Educacion","T","Europa",0.203,0,0
"142",142,"Asesores","T","America",0.026,0,0
"143",143,"Otros","T","America",0.026,9,0.1
"144",144,"Educacion","T","America",0.026,0,0
"145",145,"Otros","T","America",0.007,0,0
"146",146,"Asesores","T","America",0.026,129,0.15
"147",147,"Educacion","T","America",0.026,6,0.1
"148",148,"Asesores","T","America",0.026,0,0
"149",149,"Asesores","T","America",0.026,79,0.12
"150",150,"Asesores","T","America",0.063,0,0
"151",151,"Asesores","T","America",0.063,0,0
"152",152,"Asesores","T","America",0.063,35,0.13
"153",153,"Asesores","T","America",0.026,0,0
"154",154,"Asesores","T","America",0.126,0,0
"155",155,"Asesores","T","America",0.063,0,0
"156",156,"Asesores","T","America",0.063,0,0
"157",157,"Educacion","T","America",0.086,51,0.16
"158",158,"Asesores","T","America",0.026,0,0
"159",159,"Educacion","T","America",0.063,29,0.13
"160",160,"Asesores","T","America",0.026,0,0
"161",161,"Asesores","T","America",0.007,0,0
"162",162,"Asesores","T","America",0.239,0,0
"163",163,"Educacion","T","America",0.126,2314,4.98
"164",164,"Asesores","T","America",0.026,0,0
"165",165,"Otros","T","America",0.026,35,0.1
"166",166,"Otros","T","America",0.007,0,0
"167",167,"Otros","T","America",0.026,0,0
"168",168,"Otros","T","America",0.026,38,0.1
"169",169,"Otros","T","America",0.026,0,0
"170",170,"Educacion","T","America",0.226,0,0
"171",171,"Educacion","T","America",0.063,54,0.13
"172",172,"Educacion","T","America",0.026,603,0.36
"173",173,"Educacion","T","America",0.026,0,0
"174",174,"Educacion","T","America",0.063,897,1.02
"175",175,"Educacion","T","America",0.04,0,0
"176",176,"Educacion","T","America",0.026,144,0.15
"177",177,"Educacion","T","Europa",0.09,7,0.16
"178",178,"Educacion","T","America",0.158,112,0.39
"179",179,"Educacion","T","Europa",0.067,3,0.14
"180",180,"Educacion","M","America",0.063,0,0
"181",181,"Educacion","M","America",0.026,0,0
"182",182,"Educacion","M","Africa",0.068,64,0.21
"183",183,"Asesores","M","Europa",0.113,0,0
"184",184,"Educacion","M","America",0.209,0,0
"185",185,"Educacion","M","Africa",0.068,3,0.14
"186",186,"Educacion","M","Europa",0.211,0,0
"187",187,"Educacion","M","Europa",0.211,0,0
"188",188,"Educacion","M","America",0.209,727,2.79
"189",189,"Asesores","T","America",0.026,138,0.15
