id,Age,Citizenship,Status,Lifeboat,Adult.Minor,Sex,Survived,Pasajero,Class,Template
47,18,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 47)(sexo Male)(status Single)(adult Adult)(clase Deck))
48,20,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 48)(sexo Male)(status Single)(adult Adult)(clase Deck))
49,21,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 49)(sexo Male)(status Married)(adult Adult)(clase Deck))
50,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 50)(sexo Male)(status Married)(adult Adult)(clase Deck))
51,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 51)(sexo Male)(status Married)(adult Adult)(clase Deck))
52,26,British,Single,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 52)(sexo Male)(status Single)(adult Adult)(clase Deck))
53,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 53)(sexo Male)(status Married)(adult Adult)(clase Deck))
54,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 54)(sexo Male)(status Married)(adult Adult)(clase Deck))
55,17,British,Single,No,Minor,Male,Lost,Crew,Deck,(Pasajero (id 55)(sexo Male)(status Single)(adult Minor)(clase Deck))
56,33,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 56)(sexo Male)(status Married)(adult Adult)(clase Deck))
57,32,British,Otros,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 57)(sexo Male)(status Otros)(adult Adult)(clase Deck))
58,27,British,Single,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 58)(sexo Male)(status Single)(adult Adult)(clase Deck))
59,25,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 59)(sexo Male)(status Married)(adult Adult)(clase Deck))
60,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 60)(sexo Male)(status Married)(adult Adult)(clase Deck))
61,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 61)(sexo Male)(status Married)(adult Adult)(clase Deck))
62,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 62)(sexo Male)(status Married)(adult Adult)(clase Deck))
63,32,British,Single,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 63)(sexo Male)(status Single)(adult Adult)(clase Deck))
64,24,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 64)(sexo Male)(status Married)(adult Adult)(clase Deck))
65,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 65)(sexo Male)(status Married)(adult Adult)(clase Deck))
66,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 66)(sexo Male)(status Married)(adult Adult)(clase Deck))
67,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 67)(sexo Male)(status Married)(adult Adult)(clase Deck))
68,32,British,Single,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 68)(sexo Male)(status Single)(adult Adult)(clase Deck))
69,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 69)(sexo Male)(status Married)(adult Adult)(clase Deck))
70,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 70)(sexo Male)(status Married)(adult Adult)(clase Deck))
71,58,British,Otros,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 71)(sexo Male)(status Otros)(adult Adult)(clase Deck))
72,32,British,Married,No,Adult,Male,Saved,Crew,Deck,(Pasajero (id 72)(sexo Male)(status Married)(adult Adult)(clase Deck))
73,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 73)(sexo Male)(status Married)(adult Adult)(clase Deck))
74,32,British,Married,No,Adult,Male,Lost,Crew,Deck,(Pasajero (id 74)(sexo Male)(status Married)(adult Adult)(clase Deck))
75,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 75)(sexo Male)(status Married)(adult Adult)(clase Engineering))
76,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 76)(sexo Male)(status Married)(adult Adult)(clase Engineering))
77,18,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 77)(sexo Male)(status Married)(adult Adult)(clase Engineering))
78,26,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 78)(sexo Male)(status Single)(adult Adult)(clase Engineering))
79,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 79)(sexo Male)(status Married)(adult Adult)(clase Engineering))
80,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 80)(sexo Male)(status Married)(adult Adult)(clase Engineering))
81,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 81)(sexo Male)(status Single)(adult Adult)(clase Engineering))
82,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 82)(sexo Male)(status Single)(adult Adult)(clase Engineering))
83,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 83)(sexo Male)(status Single)(adult Adult)(clase Engineering))
84,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 84)(sexo Male)(status Single)(adult Adult)(clase Engineering))
85,47,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 85)(sexo Male)(status Married)(adult Adult)(clase Engineering))
86,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 86)(sexo Male)(status Married)(adult Adult)(clase Engineering))
87,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 87)(sexo Male)(status Married)(adult Adult)(clase Engineering))
88,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 88)(sexo Male)(status Single)(adult Adult)(clase Engineering))
89,24,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 89)(sexo Male)(status Single)(adult Adult)(clase Engineering))
90,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 90)(sexo Male)(status Single)(adult Adult)(clase Engineering))
91,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 91)(sexo Male)(status Married)(adult Adult)(clase Engineering))
92,54,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 92)(sexo Male)(status Single)(adult Adult)(clase Engineering))
93,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 93)(sexo Male)(status Single)(adult Adult)(clase Engineering))
94,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 94)(sexo Male)(status Married)(adult Adult)(clase Engineering))
95,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 95)(sexo Male)(status Single)(adult Adult)(clase Engineering))
96,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 96)(sexo Male)(status Married)(adult Adult)(clase Engineering))
97,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 97)(sexo Male)(status Single)(adult Adult)(clase Engineering))
98,54,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 98)(sexo Male)(status Single)(adult Adult)(clase Engineering))
99,35,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 99)(sexo Male)(status Single)(adult Adult)(clase Engineering))
100,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 100)(sexo Male)(status Married)(adult Adult)(clase Engineering))
101,43,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 101)(sexo Male)(status Single)(adult Adult)(clase Engineering))
102,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 102)(sexo Male)(status Married)(adult Adult)(clase Engineering))
103,48,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 103)(sexo Male)(status Married)(adult Adult)(clase Engineering))
104,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 104)(sexo Male)(status Single)(adult Adult)(clase Engineering))
105,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 105)(sexo Male)(status Single)(adult Adult)(clase Engineering))
106,59,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 106)(sexo Male)(status Single)(adult Adult)(clase Engineering))
107,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 107)(sexo Male)(status Single)(adult Adult)(clase Engineering))
108,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 108)(sexo Male)(status Single)(adult Adult)(clase Engineering))
109,53,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 109)(sexo Male)(status Single)(adult Adult)(clase Engineering))
110,44,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 110)(sexo Male)(status Single)(adult Adult)(clase Engineering))
111,32,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 111)(sexo Male)(status Married)(adult Adult)(clase Engineering))
112,35,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 112)(sexo Male)(status Married)(adult Adult)(clase Engineering))
113,32,British,Single,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 113)(sexo Male)(status Single)(adult Adult)(clase Engineering))
114,32,British,Married,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 114)(sexo Male)(status Married)(adult Adult)(clase Engineering))
115,32,British,Single,No,Adult,Male,Saved,Crew,Engineering,(Pasajero (id 115)(sexo Male)(status Single)(adult Adult)(clase Engineering))
116,51,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 116)(sexo Male)(status Married)(adult Adult)(clase Engineering))
117,20,British,Married,No,Adult,Male,Lost,Crew,Engineering,(Pasajero (id 117)(sexo Male)(status Married)(adult Adult)(clase Engineering))
